CATEGORIA;CLASSE;TIPOLOGIA DOCUMENTARIA;CONSERVAZIONE
3;14;ORGANIZZAZIONE DI CORSI DI FORMAZIONE E AGGIORNAMENTO: UN FASC. PER CIASCUN CORSO;PERMANENTE PREVIO SFOLTIMENTO DOPO 5 ANNI
3;15;CRITERI GENERALI E NORMATIVA PER IL TRATTAMENTO DEI COLLABORATORI ESTERNI;PERMANENTE
3;15;ELENCO DEGLI INCARICHI CONFERITI: REPERTORIO;PERMANENTE
3;2;CRITERI GENERALI E NORMATIVA PER LE ASSUNZIONI E CESSAZIONI;PERMANENTE
3;2;DETERMINAZIONI DI ASSUNZIONE E CESSAZIONE DEI SINGOLI INSERITE NEI SINGOLI FASCICOLI PERSONALI;PERMANENTE
3;3;CRITERI GENERALI E NORMATIVA PER COMANDI, DISTACCHI, MOBILITÀ;PERMANENTE
3;3;DETERMINAZIONI DI COMANDI, DISTACCHI E MOBILITÀ INSERITE NEI SINGOLI FASCICOLI PERSONALI;PERMANENTE
3;4;AUTORIZZAZIONE ALLO SVOLGIMENTO DI INCARICHI ESTERNI;2 ANNI
3;4;CRITERI GENERALI E NORMATIVA PER LE ATTRIBUZIONI DI FUNZIONI, ORDINI DI SERVIZIO E MISSIONI;PERMANENTE
3;4;DETERMINAZIONI DI ATTRIBUZIONE DI FUNZIONI INSERITE NEI SINGOLI FASCICOLI PERSONALI;PERMANENTE
3;4;DETERMINAZIONI DI MISSIONI INSERITE NEI SINGOLI FASCICOLI PERSONALI;10 ANNI
3;4;DETERMINAZIONI DI ORDINI DI SERVIZIO INSERITE NEI SINGOLI FASCICOLI PERSONALI;PERMANENTE
3;4;ORDINI DI SERVIZIO COLLETTIVI;PERMANENTE
3;5;CRITERI GENERALI E NORMATIVA PER GLI INQUADRAMENTI E LE APPLICAZIONE DEI CONTRATTI COLLETTIVI DI LAVORO;PERMANENTE
3;5;DETERMINAZIONE DEI RUOLI E CONTRATTI COLLETTIVI;PERMANENTE
3;5;DETERMINAZIONI RELATIVE AI SINGOLI;PERMANENTE
3;6;ANAGRAFE DELLE PRESTAZIONI: SCHEDE;5 ANNI
3;6;CRITERI GENERALI E NORMATIVA PER LE RETRIBUZIONI E COMPENSI;PERMANENTE
3;6;DETERMINAZIONI INSERITE NEI SINGOLI FASCICOLI PERSONALI;5 ANNI DALLA CESSAZIONE DAL SERVIZIO
3;6;PROVVEDIMENTI GIUDIZIARI DI REQUISIZIONE DELLO STIPENDIO;5 ANNI
3;6;RUOLI DEGLI STIPENDI: BASE DI DATI/ TABULATI;PERMANENTE
3;7;ASSICURAZIONE OBBLIGATORIA INSERITA NEI SINGOLI FASCICOLI PERSONALI;5 ANNI DALLA CHIUSURA DEL FASCICOLO
3;7;CRITERI GENERALI E NORMATIVA PER GLI ADEMPIMENTI FISCALI, CONTRIBUTIVI E ASSICURATIVI;PERMANENTE
3;7;TRATTAMENTO ASSICURATIVO INSERITO NEI SINGOLI FASCICOLI PERSONALI;5 ANNI DALLA CHIUSURA DEL FASCICOLO
3;7;TRATTAMENTO CONTRIBUTIVO INSERITO NEI SINGOLI FASCICOLI PERSONALI;5 ANNI DALLA CHIUSURA DEL FASCICOLO
3;7;TRATTAMENTO FISCALE INSERITO NEI SINGOLI FASCICOLI PERSONALI;5 ANNI DALLA CHIUSURA DEL FASCICOLO
3;8;CRITERI GENERALI E NORMATIVA PER LA TUTELA DELLA SALUTE E SICUREZZA SUL LUOGO DI LAVORO;PERMANENTE
3;8;DENUNCIA DI INFORTUNIO E PRATICA RELATIVA, CON REFERTI, INSERITA NEI SINGOLI FASCICOLI PERSONALI;PERMANENTE
3;8;FASCICOLI RELATIVI ALLE VISITE MEDICHE ORDINARIE (MEDICINA DEL LAVORO);10 ANNI
3;8;PREVENZIONE INFORTUNI;PERMANENTE
3;8;REGISTRO INFORTUNI;PERMANENTE
3;8;RILEVAZIONE DEI RISCHI, AI SENSI DELLA 626/94: UN FASC. PER SEDE;TENERE L’ULTIMA E SCARTARE LA PRECEDENTE
3;8;VERBALI DELLE RAPPRESENTANZE DEI LAVORATORI PER LA SICUREZZA;PERMANENTE
4;10;ACQUISIZIONE DI BENI E SERVIZI: UN FASC. PER CIASCUN ACQUISTO;5 ANNI DALLA DISMISSIONE DEL BENE
4;10;ELENCO DEI FORNITORI: REPERTORIO (IN FORMA DI BASE DI DATI);PERMANENTE
4;12;GIORNALE DI CASSA;PERMANENTE
4;12;MANDATI QUIETANZATI, CHE VENGONO INVIATI IN RAGIONERIA: REPERTORIO PERIODICO (MESE/ANNO);10 ANNI
4;13;CONCESSIONARI: UN FASC. PER CIASCUNO DEI CONCESSIONARI;10 ANNI DALLA CESSAZIONE DEL RAPPORTO
4;14;AUTORIZZAZIONI ALLA PUBBLICITÀ CIRCOSCRITTA: REPERTORIO ANNUALE;5 ANNI DALLA SCADENZA DELL’AUTORIZZAZIONE
4;14;AUTORIZZAZIONI ALLA PUBBLICITÀ STABILE: REPERTORIO ANNUALE;5 ANNI DALLA SCADENZA DELL’AUTORIZZAZIONE
4;14;RICHIESTE DI AFFISSIONE (CON ALLEGATI DA AFFIGGERE): UN FASC. PER RICHIESTA;5 ANNI DALLA SCADENZA DELL’AUTORIZZAZIONE
4;2;BILANCIO PREVENTIVO E ALLEGATI, TRA CUI RELAZIONE PREVISIONALE E PROGRAMMATICA;PERMANENTE
4;2;CARTEGGIO PRODOTTO DAI DIFFERENTI UFFICI DEL COMUNE PER QUESTIONI AFFERENTI ALLA FORMAZIONE DEL BILANCIO E DEL PEG;10 ANNI
4;2;GESTIONE DEL BILANCIO: UN FASC. PER CIASCUNA VARIAZIONE;PERMANENTE, PREVIO SFOLTIMENTO
4;2;PEG: ARTICOLATO IN FASCICOLI: UN FASC. PER OGNI OBIETTIVO;PERMANENTE, PREVIO SFOLTIMENTO
4;3;BOLLETTARI VARI;5 ANNI
4;3;CONTRATTI DI MUTUO: UN FASC. PER CIASCUN MUTUO;5 ANNI DALL’ESTINZIONE DEL MUTUO
4;3;DIRITTI DI SEGRETERIA: REGISTRINI ANNUALI O PAGAMENTI VIRTUALI;5 ANNI
4;3;FASCICOLI PERSONALI DEI CONTRIBUENTI COMUNALI: UN FASC. PER CIASCUN CONTRIBUENTE PER CIASCUN TIPO DI IMPOSTE (ICI, TARSU, TOSAP, ETC.), CON EVENTUALI SOTTOFASCICOLI (VARIAZIONI, RICORSI, ETC.);10 DOPO LA CANCELLAZIONE DEL CONTRIBUENTE DAI RUOLI
4;3;FATTURE EMESSE: REPERTORIO ANNUALE;10 ANNI
4;3;MATRICI DEI BOLLETTARI DELLE ENTRATE: REGISTRI ANNUALI;5 ANNI
4;3;PROVENTI DA AFFITTI E LOCAZIONI: UN FASC. ANNUALE PER CIASCUN IMMOBILE LOCATO;5 ANNI DAL TERMINE DEL CONTRATTO
4;3;REVERSALI;5 ANNI
